id,first_name,last_name,gender,test,assignment,exam
1,Gretta,Frohock,Female,26,6,0
2,Berty,Murrum,Female,27,3,50
3,Lanita,Arnold,Female,25,6,54
4,Michell,Tuther,Female,8,8,21
5,Nichols,Dionisio,Male,24,5,8
6,Benson,Guerre,Male,5,5,48
7,Pembroke,Dobble,Male,10,6,56
8,Mortimer,Lafond,Male,30,10,23
9,Shaylah,Ceaplen,Female,12,0,39
10,Eldridge,Seaman,Male,6,5,58
11,Eben,Brien,Male,12,6,37
12,Yorke,Spofforth,Polygender,19,10,42
13,Eunice,Nuzzetti,Female,1,7,47
14,Francis,Dugald,Male,14,4,26
15,Aubrette,Connelly,Female,0,8,15
16,Jilleen,Cossans,Female,16,0,42
17,Efren,Titchener,Male,29,6,56
18,Patty,McKearnen,Female,11,1,25
19,Miof mela,Thornley,Female,12,0,58
20,Rolf,Badby,Male,15,10,11
21,Nickolas,Snarr,Male,0,6,12
22,Ingmar,Melbury,Male,26,5,21
23,Shaine,Impey,Female,24,4,0
24,Jacinta,Rolinson,Female,3,2,6
25,Woody,Battlestone,Male,21,6,13
26,Caitrin,Gareisr,Female,22,4,29
27,Jeremias,Pargeter,Male,0,6,50
28,Nariko,Chape,Female,0,10,25
29,Damita,Langmuir,Female,3,2,55
30,Xenia,Bickford,Female,4,7,35
31,Sander,Cowap,Male,23,10,36
32,Gilli,Pattington,Female,13,0,33
33,Kippie,Thombleson,Female,11,8,22
34,Grant,Wolfindale,Male,20,9,51
35,Camey,Gunner,Male,11,10,9
36,Dani,Pasley,Female,25,5,1
37,Marmaduke,Eggar,Male,10,3,25
38,Oates,Duffett,Male,23,9,14
39,Dew,Leeburn,Male,23,9,41
40,Boyce,Deelay,Male,23,8,35
41,Lyndsey,Blaw,Female,22,6,60
42,Grata,Dablin,Female,24,0,33
43,Dexter,Terney,Male,8,2,57
44,Simon,Bothams,Male,0,0,1
45,Brooke,Keats,Female,23,6,45
46,Clari,Ketchen,Female,5,1,11
47,Carlina,Blanket,Female,13,2,37
48,Ardelia,Covell,Female,11,1,21
49,Peta,Bartoszewicz,Female,3,9,1
50,Terrijo,Spurgeon,Agender,20,3,21
51,Dina,Cruickshank,Female,15,7,41
52,Caril,Henriksson,Female,27,10,13
53,Piotr,Skitch,Male,2,6,49
54,Margot,Husselbee,Female,1,7,57
55,Jemie,Kleinbaum,Female,23,9,25
56,Ginger,Greest,Male,18,9,6
57,Hughie,Cockill,Male,13,7,17
58,Banky,Smurfit,Male,28,9,24
59,Bobbe,Krzyzaniak,Female,19,4,35
60,Edgard,Seczyk,Male,0,6,15
61,Roley,Rishman,Male,24,6,49
62,Coral,Robben,Female,23,3,57
63,Giovanni,MacCambridge,Male,22,1,20
64,Orton,Beig,Male,4,5,11
65,Lucie,Cornelisse,Female,24,0,25
66,Erica,Manis,Genderqueer,22,5,38
67,Lorilee,Kelling,Female,17,0,6
68,Coretta,Adamik,Female,2,10,20
69,Temple,Sweynson,Male,10,2,14
70,Marc,Frye,Genderqueer,1,6,46
71,Rickey,Easom,Male,2,8,36
72,Adorne,Roebuck,Female,25,4,1
73,Martin,Gladman,Male,22,9,37
74,Carlye,Duckering,Female,24,7,45
75,Lillis,Bugler,Female,30,0,12
76,Ailene,Geeve,Female,30,9,32
77,Blaine,Nacey,Male,22,8,19
78,Abdel,Whittick,Male,13,6,6
79,Turner,Gerssam,Male,9,7,35
80,Nathanil,Beasley,Agender,20,1,21
81,Amy,Spellicy,Female,11,9,36
82,Arleta,Ruppele,Female,12,6,20
83,Randy,Sewall,Bigender,11,3,35
84,Cordelie,Gawkes,Female,16,5,59
85,Tandy,Howorth,Female,17,4,53
86,Griz,Matten,Male,10,3,14
87,Phyllys,Allflatt,Female,22,3,56
88,Fedora,Vacher,Female,4,8,34
89,Bruce,Gheorghe,Male,2,10,28
90,Hortense,Kemson,Female,16,1,56
91,Agustin,Oldridge,Male,18,7,17
92,Kellyann,Grimstead,Female,23,10,32
93,Ofelia,Stansell,Female,17,3,49
94,Delmore,Claxson,Male,28,7,33
95,Ax,Gutridge,Male,24,4,33
96,Alicia,Carrell,Female,18,7,23
97,Giulietta,Dearlove,Agender,26,10,19
98,Hamel,Brigham,Male,26,8,37
99,Elsey,Coysh,Female,6,2,38
100,Nicolai,Veivers,Male,21,0,46
